|Happy|Angry|Surprise|Sad|Fear|emotion
409|0.09|0.0|0.42|0.26|0.23|Surprise
410|1.0|0.0|0.0|0.0|0.0|Happy
411|0.0|0.0|0.0|0.0|0.0|Happy
412|0.67|0.0|0.17|0.0|0.17|Happy
413|0.32|0.0|0.27|0.32|0.09|Happy
414|0.5|0.0|0.0|0.25|0.25|Happy
415|0.4|0.0|0.6|0.0|0.0|Surprise
416|0.0|0.0|0.0|0.0|0.0|Happy
417|0.14|0.1|0.1|0.43|0.24|Sad
418|0.3|0.0|0.2|0.2|0.3|Happy
419|0.0|0.0|0.5|0.5|0.0|Surprise
420|0.09|0.0|0.36|0.27|0.27|Surprise
421|0.0|0.11|0.11|0.56|0.22|Sad
422|0.0|0.0|0.0|0.0|0.0|Happy
423|0.29|0.0|0.14|0.29|0.29|Happy
424|0.5|0.0|0.0|0.5|0.0|Happy
425|0.0|0.0|0.2|0.6|0.2|Sad
426|0.0|0.0|0.44|0.22|0.33|Surprise
427|0.43|0.0|0.0|0.29|0.29|Happy
428|0.0|0.0|0.0|1.0|0.0|Sad
429|0.15|0.11|0.26|0.22|0.26|Surprise
430|0.0|0.0|0.5|0.5|0.0|Surprise
431|0.67|0.0|0.33|0.0|0.0|Happy
432|0.18|0.0|0.18|0.36|0.27|Sad
433|0.25|0.0|0.0|0.5|0.25|Sad
434|0.07|0.0|0.27|0.33|0.33|Sad
435|0.24|0.0|0.18|0.18|0.41|Fear
436|0.0|0.0|0.0|1.0|0.0|Sad
437|0.17|0.0|0.33|0.17|0.33|Surprise
438|0.67|0.0|0.0|0.33|0.0|Happy
439|0.0|0.0|0.0|0.33|0.67|Fear
440|0.0|0.0|0.0|1.0|0.0|Sad
441|0.14|0.0|0.43|0.14|0.29|Surprise
442|0.0|0.0|0.0|0.0|1.0|Fear
443|0.75|0.0|0.17|0.0|0.08|Happy
444|0.0|0.0|0.0|1.0|0.0|Sad
445|0.25|0.0|0.25|0.25|0.25|Happy
446|0.0|0.0|0.6|0.2|0.2|Surprise
447|0.0|0.17|0.17|0.17|0.5|Fear
448|0.0|0.0|0.33|0.67|0.0|Sad
449|0.04|0.04|0.13|0.26|0.52|Fear
450|0.33|0.0|0.33|0.33|0.0|Happy
451|0.27|0.09|0.09|0.18|0.36|Fear
452|0.0|0.0|0.0|0.0|0.0|Happy
453|0.15|0.06|0.35|0.21|0.24|Surprise
